Country,Budget,Currency
US,55,AED
CH,50,AED
AU,50,AED
GB,64,AED
DE,64,AED
DK,51,AED
AT,44,AED
NO,44,AED
CA,51,AED
NL,51,AED
SE,51,AED
IE,40,AED
BE,40,AED
FI,40,AED
FR,51,AED
NZ,44,AED
HK,22,AED
CZ,44,AED
SK,40,AED
AE,51,AED
SG,51,AED
IL,51,AED
KW,24,AED
IT,50,AED
JP,64,AED
ES,50,AED
VE,50,AED
HU,40,AED
PT,44,AED
GR,44,AED
KR,22,AED
TW,44,AED
PL,20,AED
ZM,50,AED
PR,50,AED
CI,50,AED
RO,40,AED
BH,24,AED
PA,50,AED
GH,50,AED
KH,50,AED
SN,50,AED
SA,24,AED
RU,51,AED
UG,50,AED
BR,20,AED
NI,50,AED
MG,50,AED
DO,50,AED
MX,22,AED
OM,24,AED
CM,50,AED
ZA,50,AED
CL,50,AED
KE,50,AED
NP,50,AED
PE,50,AED
UA,50,AED
MZ,50,AED
TZ,50,AED
AO,50,AED
JO,24,AED
ZW,50,AED
TR,40,AED
MU,50,AED
SV,50,AED
TH,22,AED
CO,50,AED
LK,50,AED
CR,50,AED
AR,24,AED
MA,24,AED
MY,50,AED
KZ,50,AED
DZ,24,AED
ID,24,AED
NG,50,AED
GT,50,AED
VN,20,AED
BY,50,AED
EG,24,AED
UY,50,AED
BD,50,AED
PK,50,AED
PH,50,AED
ET,50,AED
TN,24,AED
LB,24,AED
IN,20,AED
PY,50,AED
UZ,50,AED
EC,50,AED
MM,50,AED
GE,50,AED
US,5347,ARS
CH,4812,ARS
AU,4812,ARS
GB,6238,ARS
DE,6238,ARS
DK,4991,ARS
AT,4278,ARS
NO,4278,ARS
CA,4991,ARS
NL,4991,ARS
SE,4991,ARS
IE,3921,ARS
BE,3921,ARS
FI,3921,ARS
FR,4991,ARS
NZ,4278,ARS
HK,2139,ARS
CZ,4278,ARS
SK,3921,ARS
AE,4991,ARS
SG,4991,ARS
IL,4991,ARS
KW,2317,ARS
IT,4812,ARS
JP,6238,ARS
ES,4812,ARS
VE,4812,ARS
HU,3921,ARS
PT,4278,ARS
GR,4278,ARS
KR,2139,ARS
TW,4278,ARS
PL,1961,ARS
ZM,4812,ARS
PR,4812,ARS
CI,4812,ARS
RO,3921,ARS
BH,2317,ARS
PA,4812,ARS
GH,4812,ARS
KH,4812,ARS
SN,4812,ARS
SA,2317,ARS
RU,4991,ARS
UG,4812,ARS
BR,1961,ARS
NI,4812,ARS
MG,4812,ARS
DO,4812,ARS
MX,2139,ARS
OM,2317,ARS
CM,4812,ARS
ZA,4812,ARS
CL,4812,ARS
KE,4812,ARS
NP,4812,ARS
PE,4812,ARS
UA,4812,ARS
MZ,4812,ARS
TZ,4812,ARS
AO,4812,ARS
JO,2317,ARS
ZW,4812,ARS
TR,3921,ARS
MU,4812,ARS
SV,4812,ARS
TH,2139,ARS
CO,4812,ARS
LK,4812,ARS
CR,4812,ARS
AR,2317,ARS
MA,2317,ARS
MY,4812,ARS
KZ,4812,ARS
DZ,2317,ARS
ID,2317,ARS
NG,4812,ARS
GT,4812,ARS
VN,1961,ARS
BY,4812,ARS
EG,2317,ARS
UY,4812,ARS
BD,4812,ARS
PK,4812,ARS
PH,4812,ARS
ET,4812,ARS
TN,2317,ARS
LB,2317,ARS
IN,1961,ARS
PY,4812,ARS
UZ,4812,ARS
EC,4812,ARS
MM,4812,ARS
GE,4812,ARS
US,23,AUD
CH,21,AUD
AU,21,AUD
GB,27,AUD
DE,27,AUD
DK,21,AUD
AT,18,AUD
NO,18,AUD
CA,21,AUD
NL,21,AUD
SE,21,AUD
IE,17,AUD
BE,17,AUD
FI,17,AUD
FR,21,AUD
NZ,18,AUD
HK,9,AUD
CZ,18,AUD
SK,17,AUD
AE,21,AUD
SG,21,AUD
IL,21,AUD
KW,10,AUD
IT,21,AUD
JP,27,AUD
ES,21,AUD
VE,21,AUD
HU,17,AUD
PT,18,AUD
GR,18,AUD
KR,9,AUD
TW,18,AUD
PL,8,AUD
ZM,21,AUD
PR,21,AUD
CI,21,AUD
RO,17,AUD
BH,10,AUD
PA,21,AUD
GH,21,AUD
KH,21,AUD
SN,21,AUD
SA,10,AUD
RU,21,AUD
UG,21,AUD
BR,8,AUD
NI,21,AUD
MG,21,AUD
DO,21,AUD
MX,9,AUD
OM,10,AUD
CM,21,AUD
ZA,21,AUD
CL,21,AUD
KE,21,AUD
NP,21,AUD
PE,21,AUD
UA,21,AUD
MZ,21,AUD
TZ,21,AUD
AO,21,AUD
JO,10,AUD
ZW,21,AUD
TR,17,AUD
MU,21,AUD
SV,21,AUD
TH,9,AUD
CO,21,AUD
LK,21,AUD
CR,21,AUD
AR,10,AUD
MA,10,AUD
MY,21,AUD
KZ,21,AUD
DZ,10,AUD
ID,10,AUD
NG,21,AUD
GT,21,AUD
VN,8,AUD
BY,21,AUD
EG,10,AUD
UY,21,AUD
BD,21,AUD
PK,21,AUD
PH,21,AUD
ET,21,AUD
TN,10,AUD
LB,10,AUD
IN,8,AUD
PY,21,AUD
UZ,21,AUD
EC,21,AUD
MM,21,AUD
GE,21,AUD
US,27,BGN
CH,24,BGN
AU,24,BGN
GB,31,BGN
DE,31,BGN
DK,25,BGN
AT,22,BGN
NO,22,BGN
CA,25,BGN
NL,25,BGN
SE,25,BGN
IE,20,BGN
BE,20,BGN
FI,20,BGN
FR,25,BGN
NZ,22,BGN
HK,11,BGN
CZ,22,BGN
SK,20,BGN
AE,25,BGN
SG,25,BGN
IL,25,BGN
KW,12,BGN
IT,24,BGN
JP,31,BGN
ES,24,BGN
VE,24,BGN
HU,20,BGN
